"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","17/1269","36/9376",0.472222222222222,3.48901147009894,5.91958243683749,1.04254895492038e-06,3.27929034911321e-05,2.49413625579039e-05,"SORD/UGP2/AKR1B10/UGT1A9/UGT1A10/AKR1B15/UGT1A1/UGT1A8/UGT1A4/UGT1A7/UGT1A3/UGT1A5/UGDH/UGT1A6/UGT2A3/DHDH/UGT2B10",17
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","30/1269","100/9376",0.3,2.21654846335697,4.83877476711151,1.32190001435881e-05,0.000376836994634134,0.000286611647881149,"IL11/ITGA2/IL6R/IL1A/ANPEP/CD36/IL1B/IL11RA/CD55/FCGR1A/IL6/CSF3/CD7/CD22/CD19/CR2/KIT/FCER2/CD8A/MME/IL1R2/FLT3/CSF2/MS4A1/CD37/CD3E/CD3D/CD1A/HLA-DOB/CD8B",30
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","27/1269","86/9376",0.313953488372093,2.31964374072241,4.86389771660306,1.41586154053288e-05,0.000376836994634134,0.000286611647881149,"PDX1/ABCC8/CACNA1D/GNA11/CREB3L3/CAMK2B/ADCY5/PRKACB/ATP1A3/PRKCB/SLC2A1/PLCB4/ATP1A2/KCNJ11/PRKCG/SNAP25/RIMS2/CAMK2A/GPR119/ATP1B2/KCNN3/KCNMB2/ATP1A4/KCNMA1/GCG/KCNMB1/ADCYAP1R1",27
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","24/1269","73/9376",0.328767123287671,2.4290942064186,4.84950197913712,1.77655637500781e-05,0.000439063218394787,0.000333939168234551,"ADH1A/MAOA/ALDH3B2/UGT1A9/UGT1A10/GSTM5/GSTM2/UGT1A1/UGT1A8/CYP3A4/UGT1A4/UGT1A7/UGT1A3/UGT1A5/ADH1B/UGT1A6/HPGDS/UGT2A3/FMO1/ADH1C/CYP2B6/FMO3/UGT2B10/GSTM1",24
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","28/1269","93/9376",0.301075268817204,2.22449308150521,4.69504757625455,2.36428534644188e-05,0.000545361819912593,0.00041478690288454,"PRKG2/CST2/CST1/CST4/SLC12A2/ADCY5/ADRA1A/PRKACB/ATP1A3/PRKCB/PLCB4/CALML3/ATP1A2/ATP2B2/RYR3/PRKCG/LYZ/MUC5AC/ATP1B2/ADRB1/ATP2B3/NOS1/TRPV6/ATP1A4/KCNMA1/LPO/DMBT1/ADRB3",28
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","21/1269","61/9376",0.344262295081967,2.54358020385227,4.78507832335832,2.68956300661253e-05,0.000565092172006866,0.000429793255253169,"SLC8A3/MT2A/MT1M/MT1X/TRPM6/SLC26A3/MT1E/ATP1A3/MT1H/MT1F/ATP1A2/MT1G/ATP2B2/SLC6A19/SLC9A3/ATP1B2/HEPHL1/ATP2B3/TRPV6/ATP1A4/SLC8A2",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","27/1269","89/9376",0.303370786516854,2.2414535022711,4.65558329609634,2.82977031950707e-05,0.000565092172006866,0.000429793255253169,"COMP/COL1A1/ITGA2/CD36/IBSP/SPP1/ITGA11/THBS2/ITGB8/COL1A2/LAMA1/CHAD/ITGA8/HMMR/COL4A6/ITGB7/COL9A1/LAMC2/COL4A1/COL9A3/COL4A3/TNXB/SV2B/COL6A3/COL2A1/FREM2/COL6A5",27
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","28/1269","94/9376",0.297872340425532,2.20082826148919,4.62924757747747,2.93978586593167e-05,0.000565092172006866,0.000429793255253169,"MMP1/MMP3/MAPK15/CXCL8/HSP90AB1/FOSL1/CXCL5/CXCL3/CEBPB/CXCL2/CXCL1/MMP13/IL1B/S100A9/CXCL6/IL17D/IL6/CSF3/LCN2/CXCL10/CSF2/S100A8/CCL20/MUC5AC/MMP9/PTGS2/FOSB/CCL7",28
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","16/1269","41/9376",0.390243902439024,2.88331507428549,4.7812792849006,4.23799474341029e-05,0.000771761148010505,0.000586979881358766,"GRIN2D/GRIN2B/GRIN2A/GRIA1/GABRD/CACNA1A/GRIN3A/SLC17A8/GABRE/SLC17A7/GRIA3/GRIA4/GABRP/GABRG2/GABRB3/GABRA2",16
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","32/1269","116/9376",0.275862068965517,2.03820548354664,4.45136475063322,4.49086797343993e-05,0.000776920159405107,0.00059090368071578,"GRIN2D/GRIN2B/HOMER1/LZTS3/GRIN2A/CACNA1D/GRIA1/CACNA1A/GRIN3A/GLS2/SLC17A8/GNG7/ADCY5/GNG4/SLC17A7/PRKACB/SLC1A1/GRIA3/HOMER2/GRIK4/PRKCB/GRIA4/PLCB4/GRM8/PRKCG/GRIK3/SLC38A3/PLA2G4E/SLC1A7/GNG8/GNAO1/GRIK5",32
